country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","20-06-2026 19:00:00",28.849399,78.742362,NO2,24,25,24
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","20-06-2026 19:00:00",28.849399,78.742362,NH3,4,4,4
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","20-06-2026 19:00:00",28.849399,78.742362,SO2,55,110,91
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","20-06-2026 19:00:00",28.849399,78.742362,CO,27,42,31
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","20-06-2026 19:00:00",28.5447608,77.3231257,NH3,17,21,19
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","20-06-2026 19:00:00",28.5447608,77.3231257,SO2,7,10,9
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IITM","20-06-2026 19:00:00",28.6245479,77.3577104,PM10,106,149,125
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","20-06-2026 19:00:00",27.168897,78.376960,PM10,43,94,66
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","20-06-2026 19:00:00",27.168897,78.376960,SO2,20,45,26
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","20-06-2026 19:00:00",27.168897,78.376960,CO,18,41,27
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","20-06-2026 19:00:00",27.1594,78.3953,CO,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB","20-06-2026 19:00:00","28.694528 ","77.494705 ",PM2.5,49,77,59
India,Uttar_Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB","20-06-2026 19:00:00","28.694528 ","77.494705 ",SO2,10,31,17
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","20-06-2026 19:00:00",28.685382,77.453839,NH3,10,12,11
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","20-06-2026 19:00:00",28.6603346,77.3572563,PM10,107,163,139
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","20-06-2026 19:00:00",28.6603346,77.3572563,NH3,7,14,9
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","20-06-2026 19:00:00",26.730136,83.433859,PM10,NA,NA,NA
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","20-06-2026 19:00:00",26.730136,83.433859,NH3,NA,NA,NA
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","20-06-2026 19:00:00",26.730136,83.433859,CO,NA,NA,NA
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","20-06-2026 19:00:00",27.169338,78.03582,NO2,12,19,17
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","20-06-2026 19:00:00",28.964949,77.278761,PM10,127,200,151
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","20-06-2026 19:00:00",28.964949,77.278761,OZONE,19,104,86
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","20-06-2026 19:00:00",28.359581,79.414455,NH3,1,2,1
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","20-06-2026 19:00:00",28.359581,79.414455,CO,32,42,34
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","20-06-2026 19:00:00",28.38910936,79.42963708,PM2.5,18,33,26
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","20-06-2026 19:00:00",27.5714090,77.6557570,NH3,6,9,8
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","20-06-2026 19:00:00",27.5714090,77.6557570,SO2,24,37,28
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","20-06-2026 19:00:00",27.5714090,77.6557570,OZONE,15,16,16
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB","20-06-2026 19:00:00",30.269444,78.044167,NO2,2,7,4
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB","20-06-2026 19:00:00",23.685297,86.945968,PM10,16,154,45
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB","20-06-2026 19:00:00",23.685297,86.945968,CO,12,46,33
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB","20-06-2026 19:00:00",23.6979360,86.9443950,PM10,23,58,38
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","20-06-2026 19:00:00",23.6181830,87.1057180,PM10,5,47,36
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","20-06-2026 19:00:00",23.6181830,87.1057180,OZONE,8,41,38
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","20-06-2026 19:00:00",22.7605581,88.3617589,PM2.5,26,57,42
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","20-06-2026 19:00:00",22.7605581,88.3617589,PM10,27,61,44
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","20-06-2026 19:00:00",22.7605581,88.3617589,NO2,12,27,20
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","20-06-2026 19:00:00",23.567923,87.306843,NH3,1,1,1
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","20-06-2026 19:00:00",23.567923,87.306843,SO2,10,42,20
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","20-06-2026 19:00:00",23.5087640,87.3544400,PM10,26,77,46
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","20-06-2026 19:00:00",23.5087640,87.3544400,NH3,1,3,2
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","20-06-2026 19:00:00",23.5087640,87.3544400,SO2,10,11,10
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB","20-06-2026 19:00:00",23.549395,87.300496,PM10,43,93,69
